miina,iaai,
imiina,iaai,
omiina,iaai,
minâ,iaai,
ominâ,iaai,
mini,iaai,
miny,iaai,
miny jut !,iaai,
mita,iaai,
oomitaa,iaai,
uny,iaai,
uny jut ûxaaû !,iaai,
uny jut tang ame uhni !,iaai,
unyin,iaai,
unyik,iaai,
unyâm,iaai,
unyi Paulo,iaai,
iee hnyaar aang unyâm ?,iaai,
uök,iaai,plante
iuök,iaai,
uoû,iaai,
up,iaai,
hirondelle du Pacifique,français,oiseaux
martinet (hirondelle),français,oiseaux
martin-pêcheur,français,oiseaux
stourne des Loyauté (merle noir),français,oiseaux
siffleur des Loyauté,français,oiseaux
