miina,iaai,,
imiina,iaai,miina,
omiina,iaai,miina,
minâ,iaai,,
ominâ,iaai,minâ,
mini,iaai,,
miny,iaai,,
miny jut !,iaai,miny,
mita,iaai,,
oomitaa,iaai,mita,
uny,iaai,,
uny jut ûxaaû !,iaai,uny,
uny jut tang ame uhni !,iaai,uny,
unyin,iaai,,
unyik,iaai,unyin,
unyâm,iaai,unyin,
unyi Paulo,iaai,unyin,
iee hnyaar aang unyâm ?,iaai,unyin,
uök,iaai,,plante
iuök,iaai,uök,
uoû,iaai,,
up,iaai,,
hirondelle du Pacifique,français,,oiseaux
martinet (hirondelle),français,,oiseaux
martin-pêcheur,français,,oiseaux
stourne des Loyauté (merle noir),français,,oiseaux
siffleur des Loyauté,français,,oiseaux
